group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size in Bytes (power of 2),,11,,,924343.0,ns,839925
Size in Bytes (power of 2),,11,,,1852164.0,ns,1679850
Size in Bytes (power of 2),,11,,,3117753.0,ns,2519775
Size in Bytes (power of 2),,11,,,3697288.0,ns,3359700
Size in Bytes (power of 2),,11,,,4622211.0,ns,4199625
Size in Bytes (power of 2),,11,,,5641164.0,ns,5039550
Size in Bytes (power of 2),,11,,,6469739.0,ns,5879475
Size in Bytes (power of 2),,11,,,7443588.0,ns,6719400
Size in Bytes (power of 2),,11,,,8383866.0,ns,7559325
Size in Bytes (power of 2),,11,,,9416841.0,ns,8399250
Size in Bytes (power of 2),,11,,,10374040.0,ns,9239175
Size in Bytes (power of 2),,11,,,11274032.0,ns,10079100
Size in Bytes (power of 2),,11,,,13581220.0,ns,10919025
Size in Bytes (power of 2),,11,,,13093844.0,ns,11758950
Size in Bytes (power of 2),,11,,,14022388.0,ns,12598875
Size in Bytes (power of 2),,11,,,15071393.0,ns,13438800
Size in Bytes (power of 2),,11,,,15973800.0,ns,14278725
Size in Bytes (power of 2),,11,,,16847139.0,ns,15118650
Size in Bytes (power of 2),,11,,,18091082.0,ns,15958575
Size in Bytes (power of 2),,11,,,18724450.0,ns,16798500
Size in Bytes (power of 2),,11,,,19630803.0,ns,17638425
Size in Bytes (power of 2),,11,,,20415542.0,ns,18478350
Size in Bytes (power of 2),,11,,,21501217.0,ns,19318275
Size in Bytes (power of 2),,11,,,22563817.0,ns,20158200
Size in Bytes (power of 2),,11,,,22555134.0,ns,20998125
Size in Bytes (power of 2),,11,,,23457531.0,ns,21838050
Size in Bytes (power of 2),,11,,,24852028.0,ns,22677975
Size in Bytes (power of 2),,11,,,26119826.0,ns,23517900
Size in Bytes (power of 2),,11,,,26338192.0,ns,24357825
Size in Bytes (power of 2),,11,,,28012395.0,ns,25197750
Size in Bytes (power of 2),,11,,,28012000.0,ns,26037675
Size in Bytes (power of 2),,11,,,29291579.0,ns,26877600
Size in Bytes (power of 2),,11,,,30215598.0,ns,27717525
Size in Bytes (power of 2),,11,,,30756760.0,ns,28557450
Size in Bytes (power of 2),,11,,,32890967.0,ns,29397375
Size in Bytes (power of 2),,11,,,33849363.0,ns,30237300
Size in Bytes (power of 2),,11,,,33033537.0,ns,31077225
Size in Bytes (power of 2),,11,,,35568348.0,ns,31917150
Size in Bytes (power of 2),,11,,,35313233.0,ns,32757075
Size in Bytes (power of 2),,11,,,36140196.0,ns,33597000
Size in Bytes (power of 2),,11,,,38025976.0,ns,34436925
Size in Bytes (power of 2),,11,,,38247311.0,ns,35276850
Size in Bytes (power of 2),,11,,,40807368.0,ns,36116775
Size in Bytes (power of 2),,11,,,42465398.0,ns,36956700
Size in Bytes (power of 2),,11,,,41721308.0,ns,37796625
Size in Bytes (power of 2),,11,,,42899188.0,ns,38636550
Size in Bytes (power of 2),,11,,,43658192.0,ns,39476475
Size in Bytes (power of 2),,11,,,45749237.0,ns,40316400
Size in Bytes (power of 2),,11,,,44446371.0,ns,41156325
Size in Bytes (power of 2),,11,,,45598836.0,ns,41996250
Size in Bytes (power of 2),,11,,,46493846.0,ns,42836175
Size in Bytes (power of 2),,11,,,51204253.0,ns,43676100
Size in Bytes (power of 2),,11,,,49962305.0,ns,44516025
Size in Bytes (power of 2),,11,,,50523224.0,ns,45355950
Size in Bytes (power of 2),,11,,,50559267.0,ns,46195875
Size in Bytes (power of 2),,11,,,51162339.0,ns,47035800
Size in Bytes (power of 2),,11,,,51774277.0,ns,47875725
Size in Bytes (power of 2),,11,,,52857846.0,ns,48715650
Size in Bytes (power of 2),,11,,,55194844.0,ns,49555575
Size in Bytes (power of 2),,11,,,55073620.0,ns,50395500
Size in Bytes (power of 2),,11,,,57873323.0,ns,51235425
Size in Bytes (power of 2),,11,,,58000324.0,ns,52075350
Size in Bytes (power of 2),,11,,,59114380.0,ns,52915275
Size in Bytes (power of 2),,11,,,62453679.0,ns,53755200
Size in Bytes (power of 2),,11,,,60501786.0,ns,54595125
Size in Bytes (power of 2),,11,,,61440529.0,ns,55435050
Size in Bytes (power of 2),,11,,,63265198.0,ns,56274975
Size in Bytes (power of 2),,11,,,62446775.0,ns,57114900
Size in Bytes (power of 2),,11,,,64146422.0,ns,57954825
Size in Bytes (power of 2),,11,,,64033814.0,ns,58794750
Size in Bytes (power of 2),,11,,,65996618.0,ns,59634675
Size in Bytes (power of 2),,11,,,66367803.0,ns,60474600
Size in Bytes (power of 2),,11,,,66498957.0,ns,61314525
Size in Bytes (power of 2),,11,,,67413336.0,ns,62154450
Size in Bytes (power of 2),,11,,,69327866.0,ns,62994375
Size in Bytes (power of 2),,11,,,68795433.0,ns,63834300
Size in Bytes (power of 2),,11,,,72471573.0,ns,64674225
Size in Bytes (power of 2),,11,,,75731773.0,ns,65514150
Size in Bytes (power of 2),,11,,,75675775.0,ns,66354075
Size in Bytes (power of 2),,11,,,87271732.0,ns,67194000
Size in Bytes (power of 2),,11,,,77227715.0,ns,68033925
Size in Bytes (power of 2),,11,,,77966251.0,ns,68873850
Size in Bytes (power of 2),,11,,,80886033.0,ns,69713775
Size in Bytes (power of 2),,11,,,83888513.0,ns,70553700
Size in Bytes (power of 2),,11,,,84776543.0,ns,71393625
Size in Bytes (power of 2),,11,,,86583438.0,ns,72233550
Size in Bytes (power of 2),,11,,,86711812.0,ns,73073475
Size in Bytes (power of 2),,11,,,84135881.0,ns,73913400
Size in Bytes (power of 2),,11,,,84958045.0,ns,74753325
Size in Bytes (power of 2),,11,,,86458687.0,ns,75593250
Size in Bytes (power of 2),,11,,,88666422.0,ns,76433175
Size in Bytes (power of 2),,11,,,87734960.0,ns,77273100
Size in Bytes (power of 2),,11,,,88761903.0,ns,78113025
Size in Bytes (power of 2),,11,,,88514494.0,ns,78952950
Size in Bytes (power of 2),,11,,,88124356.0,ns,79792875
Size in Bytes (power of 2),,11,,,88770677.0,ns,80632800
Size in Bytes (power of 2),,11,,,89038029.0,ns,81472725
Size in Bytes (power of 2),,11,,,92025056.0,ns,82312650
Size in Bytes (power of 2),,11,,,93335868.0,ns,83152575
Size in Bytes (power of 2),,11,,,93179552.0,ns,83992500
