group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size in Bytes (power of 2),,3,,,1052978.0,ns,1195544
Size in Bytes (power of 2),,3,,,2048669.0,ns,2391088
Size in Bytes (power of 2),,3,,,2965299.0,ns,3586632
Size in Bytes (power of 2),,3,,,3895068.0,ns,4782176
Size in Bytes (power of 2),,3,,,4926001.0,ns,5977720
Size in Bytes (power of 2),,3,,,6394067.0,ns,7173264
Size in Bytes (power of 2),,3,,,7103431.0,ns,8368808
Size in Bytes (power of 2),,3,,,8290184.0,ns,9564352
Size in Bytes (power of 2),,3,,,9338405.0,ns,10759896
Size in Bytes (power of 2),,3,,,11760274.0,ns,11955440
Size in Bytes (power of 2),,3,,,13152563.0,ns,13150984
Size in Bytes (power of 2),,3,,,15018696.0,ns,14346528
Size in Bytes (power of 2),,3,,,16601623.0,ns,15542072
Size in Bytes (power of 2),,3,,,16711334.0,ns,16737616
Size in Bytes (power of 2),,3,,,17607651.0,ns,17933160
Size in Bytes (power of 2),,3,,,15923986.0,ns,19128704
Size in Bytes (power of 2),,3,,,16690585.0,ns,20324248
Size in Bytes (power of 2),,3,,,17641533.0,ns,21519792
Size in Bytes (power of 2),,3,,,18835065.0,ns,22715336
Size in Bytes (power of 2),,3,,,19535020.0,ns,23910880
Size in Bytes (power of 2),,3,,,21256846.0,ns,25106424
Size in Bytes (power of 2),,3,,,21530720.0,ns,26301968
Size in Bytes (power of 2),,3,,,22958294.0,ns,27497512
Size in Bytes (power of 2),,3,,,25635338.0,ns,28693056
Size in Bytes (power of 2),,3,,,25559030.0,ns,29888600
Size in Bytes (power of 2),,3,,,27224842.0,ns,31084144
Size in Bytes (power of 2),,3,,,26649299.0,ns,32279688
Size in Bytes (power of 2),,3,,,28192454.0,ns,33475232
Size in Bytes (power of 2),,3,,,28423171.0,ns,34670776
Size in Bytes (power of 2),,3,,,30280805.0,ns,35866320
Size in Bytes (power of 2),,3,,,31423800.0,ns,37061864
Size in Bytes (power of 2),,3,,,31403532.0,ns,38257408
Size in Bytes (power of 2),,3,,,33400250.0,ns,39452952
Size in Bytes (power of 2),,3,,,33994585.0,ns,40648496
Size in Bytes (power of 2),,3,,,34321900.0,ns,41844040
Size in Bytes (power of 2),,3,,,35909672.0,ns,43039584
Size in Bytes (power of 2),,3,,,36641871.0,ns,44235128
Size in Bytes (power of 2),,3,,,37919081.0,ns,45430672
Size in Bytes (power of 2),,3,,,38419133.0,ns,46626216
Size in Bytes (power of 2),,3,,,39781540.0,ns,47821760
Size in Bytes (power of 2),,3,,,40598389.0,ns,49017304
Size in Bytes (power of 2),,3,,,42831025.0,ns,50212848
Size in Bytes (power of 2),,3,,,42642542.0,ns,51408392
Size in Bytes (power of 2),,3,,,44383594.0,ns,52603936
Size in Bytes (power of 2),,3,,,44649104.0,ns,53799480
Size in Bytes (power of 2),,3,,,44926265.0,ns,54995024
Size in Bytes (power of 2),,3,,,47574608.0,ns,56190568
Size in Bytes (power of 2),,3,,,46356563.0,ns,57386112
Size in Bytes (power of 2),,3,,,47793341.0,ns,58581656
Size in Bytes (power of 2),,3,,,49352366.0,ns,59777200
Size in Bytes (power of 2),,3,,,49638191.0,ns,60972744
Size in Bytes (power of 2),,3,,,51312135.0,ns,62168288
Size in Bytes (power of 2),,3,,,52211231.0,ns,63363832
Size in Bytes (power of 2),,3,,,52893318.0,ns,64559376
Size in Bytes (power of 2),,3,,,53173936.0,ns,65754920
Size in Bytes (power of 2),,3,,,58487967.0,ns,66950464
Size in Bytes (power of 2),,3,,,56245939.0,ns,68146008
Size in Bytes (power of 2),,3,,,57860212.0,ns,69341552
Size in Bytes (power of 2),,3,,,59171190.0,ns,70537096
Size in Bytes (power of 2),,3,,,56852527.0,ns,71732640
Size in Bytes (power of 2),,3,,,58499506.0,ns,72928184
Size in Bytes (power of 2),,3,,,58393957.0,ns,74123728
Size in Bytes (power of 2),,3,,,60634345.0,ns,75319272
Size in Bytes (power of 2),,3,,,60915413.0,ns,76514816
Size in Bytes (power of 2),,3,,,62916362.0,ns,77710360
Size in Bytes (power of 2),,3,,,62954688.0,ns,78905904
Size in Bytes (power of 2),,3,,,65051012.0,ns,80101448
Size in Bytes (power of 2),,3,,,64670434.0,ns,81296992
Size in Bytes (power of 2),,3,,,66501236.0,ns,82492536
Size in Bytes (power of 2),,3,,,67064522.0,ns,83688080
Size in Bytes (power of 2),,3,,,67652337.0,ns,84883624
Size in Bytes (power of 2),,3,,,72619049.0,ns,86079168
Size in Bytes (power of 2),,3,,,70168993.0,ns,87274712
Size in Bytes (power of 2),,3,,,69991322.0,ns,88470256
Size in Bytes (power of 2),,3,,,72147023.0,ns,89665800
Size in Bytes (power of 2),,3,,,72320808.0,ns,90861344
Size in Bytes (power of 2),,3,,,73062526.0,ns,92056888
Size in Bytes (power of 2),,3,,,74295276.0,ns,93252432
Size in Bytes (power of 2),,3,,,74622879.0,ns,94447976
Size in Bytes (power of 2),,3,,,76335588.0,ns,95643520
Size in Bytes (power of 2),,3,,,77643821.0,ns,96839064
Size in Bytes (power of 2),,3,,,78454064.0,ns,98034608
Size in Bytes (power of 2),,3,,,79473586.0,ns,99230152
Size in Bytes (power of 2),,3,,,80326793.0,ns,100425696
Size in Bytes (power of 2),,3,,,85133220.0,ns,101621240
Size in Bytes (power of 2),,3,,,85697886.0,ns,102816784
Size in Bytes (power of 2),,3,,,84391685.0,ns,104012328
Size in Bytes (power of 2),,3,,,84812354.0,ns,105207872
Size in Bytes (power of 2),,3,,,84951860.0,ns,106403416
Size in Bytes (power of 2),,3,,,88015439.0,ns,107598960
Size in Bytes (power of 2),,3,,,87912232.0,ns,108794504
Size in Bytes (power of 2),,3,,,87285327.0,ns,109990048
Size in Bytes (power of 2),,3,,,90704767.0,ns,111185592
Size in Bytes (power of 2),,3,,,90998382.0,ns,112381136
Size in Bytes (power of 2),,3,,,92576748.0,ns,113576680
Size in Bytes (power of 2),,3,,,92161474.0,ns,114772224
Size in Bytes (power of 2),,3,,,99483898.0,ns,115967768
Size in Bytes (power of 2),,3,,,97605165.0,ns,117163312
Size in Bytes (power of 2),,3,,,99829944.0,ns,118358856
Size in Bytes (power of 2),,3,,,101323768.0,ns,119554400
