group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size in Bytes (power of 2),,20,,,941449.0,ns,876546
Size in Bytes (power of 2),,20,,,1885642.0,ns,1753092
Size in Bytes (power of 2),,20,,,3121470.0,ns,2629638
Size in Bytes (power of 2),,20,,,3954628.0,ns,3506184
Size in Bytes (power of 2),,20,,,4709302.0,ns,4382730
Size in Bytes (power of 2),,20,,,5650097.0,ns,5259276
Size in Bytes (power of 2),,20,,,6967769.0,ns,6135822
Size in Bytes (power of 2),,20,,,7573595.0,ns,7012368
Size in Bytes (power of 2),,20,,,8581056.0,ns,7888914
Size in Bytes (power of 2),,20,,,9547732.0,ns,8765460
Size in Bytes (power of 2),,20,,,10659882.0,ns,9642006
Size in Bytes (power of 2),,20,,,14514943.0,ns,10518552
Size in Bytes (power of 2),,20,,,12937276.0,ns,11395098
Size in Bytes (power of 2),,20,,,13667761.0,ns,12271644
Size in Bytes (power of 2),,20,,,14608757.0,ns,13148190
Size in Bytes (power of 2),,20,,,15528696.0,ns,14024736
Size in Bytes (power of 2),,20,,,16531875.0,ns,14901282
Size in Bytes (power of 2),,20,,,17562429.0,ns,15777828
Size in Bytes (power of 2),,20,,,18673088.0,ns,16654374
Size in Bytes (power of 2),,20,,,19295086.0,ns,17530920
Size in Bytes (power of 2),,20,,,19906626.0,ns,18407466
Size in Bytes (power of 2),,20,,,23479634.0,ns,19284012
Size in Bytes (power of 2),,20,,,22020413.0,ns,20160558
Size in Bytes (power of 2),,20,,,26401811.0,ns,21037104
Size in Bytes (power of 2),,20,,,26109162.0,ns,21913650
Size in Bytes (power of 2),,20,,,27367578.0,ns,22790196
Size in Bytes (power of 2),,20,,,29271675.0,ns,23666742
Size in Bytes (power of 2),,20,,,28428668.0,ns,24543288
Size in Bytes (power of 2),,20,,,29125283.0,ns,25419834
Size in Bytes (power of 2),,20,,,30838660.0,ns,26296380
Size in Bytes (power of 2),,20,,,30970580.0,ns,27172926
Size in Bytes (power of 2),,20,,,32080498.0,ns,28049472
Size in Bytes (power of 2),,20,,,33540572.0,ns,28926018
Size in Bytes (power of 2),,20,,,35020088.0,ns,29802564
Size in Bytes (power of 2),,20,,,34025165.0,ns,30679110
Size in Bytes (power of 2),,20,,,34881500.0,ns,31555656
Size in Bytes (power of 2),,20,,,38594519.0,ns,32432202
Size in Bytes (power of 2),,20,,,38523448.0,ns,33308748
Size in Bytes (power of 2),,20,,,40785515.0,ns,34185294
Size in Bytes (power of 2),,20,,,40414312.0,ns,35061840
Size in Bytes (power of 2),,20,,,41290879.0,ns,35938386
Size in Bytes (power of 2),,20,,,42786374.0,ns,36814932
Size in Bytes (power of 2),,20,,,43261993.0,ns,37691478
Size in Bytes (power of 2),,20,,,43911023.0,ns,38568024
Size in Bytes (power of 2),,20,,,44965313.0,ns,39444570
Size in Bytes (power of 2),,20,,,45856784.0,ns,40321116
Size in Bytes (power of 2),,20,,,47012650.0,ns,41197662
Size in Bytes (power of 2),,20,,,47847425.0,ns,42074208
Size in Bytes (power of 2),,20,,,47866207.0,ns,42950754
Size in Bytes (power of 2),,20,,,52570859.0,ns,43827300
Size in Bytes (power of 2),,20,,,50636229.0,ns,44703846
Size in Bytes (power of 2),,20,,,52299145.0,ns,45580392
Size in Bytes (power of 2),,20,,,57900759.0,ns,46456938
Size in Bytes (power of 2),,20,,,55616206.0,ns,47333484
Size in Bytes (power of 2),,20,,,56953466.0,ns,48210030
Size in Bytes (power of 2),,20,,,58300690.0,ns,49086576
Size in Bytes (power of 2),,20,,,58200444.0,ns,49963122
Size in Bytes (power of 2),,20,,,57412532.0,ns,50839668
Size in Bytes (power of 2),,20,,,58817910.0,ns,51716214
Size in Bytes (power of 2),,20,,,59525314.0,ns,52592760
Size in Bytes (power of 2),,20,,,61998668.0,ns,53469306
Size in Bytes (power of 2),,20,,,62451393.0,ns,54345852
Size in Bytes (power of 2),,20,,,62925687.0,ns,55222398
Size in Bytes (power of 2),,20,,,66607122.0,ns,56098944
Size in Bytes (power of 2),,20,,,65139608.0,ns,56975490
Size in Bytes (power of 2),,20,,,65960203.0,ns,57852036
Size in Bytes (power of 2),,20,,,66586695.0,ns,58728582
Size in Bytes (power of 2),,20,,,66990040.0,ns,59605128
Size in Bytes (power of 2),,20,,,70330584.0,ns,60481674
Size in Bytes (power of 2),,20,,,69110121.0,ns,61358220
Size in Bytes (power of 2),,20,,,68059296.0,ns,62234766
Size in Bytes (power of 2),,20,,,70287524.0,ns,63111312
Size in Bytes (power of 2),,20,,,70632085.0,ns,63987858
Size in Bytes (power of 2),,20,,,72705114.0,ns,64864404
Size in Bytes (power of 2),,20,,,72916092.0,ns,65740950
Size in Bytes (power of 2),,20,,,74329449.0,ns,66617496
Size in Bytes (power of 2),,20,,,76959821.0,ns,67494042
Size in Bytes (power of 2),,20,,,75781034.0,ns,68370588
Size in Bytes (power of 2),,20,,,78166144.0,ns,69247134
Size in Bytes (power of 2),,20,,,77833205.0,ns,70123680
Size in Bytes (power of 2),,20,,,80041783.0,ns,71000226
Size in Bytes (power of 2),,20,,,81946503.0,ns,71876772
Size in Bytes (power of 2),,20,,,81865638.0,ns,72753318
Size in Bytes (power of 2),,20,,,79930502.0,ns,73629864
Size in Bytes (power of 2),,20,,,81318784.0,ns,74506410
Size in Bytes (power of 2),,20,,,81727916.0,ns,75382956
Size in Bytes (power of 2),,20,,,85655657.0,ns,76259502
Size in Bytes (power of 2),,20,,,85497127.0,ns,77136048
Size in Bytes (power of 2),,20,,,85342229.0,ns,78012594
Size in Bytes (power of 2),,20,,,88868869.0,ns,78889140
Size in Bytes (power of 2),,20,,,88206133.0,ns,79765686
Size in Bytes (power of 2),,20,,,86987984.0,ns,80642232
Size in Bytes (power of 2),,20,,,92338315.0,ns,81518778
Size in Bytes (power of 2),,20,,,93723183.0,ns,82395324
Size in Bytes (power of 2),,20,,,92592027.0,ns,83271870
Size in Bytes (power of 2),,20,,,93551920.0,ns,84148416
Size in Bytes (power of 2),,20,,,93034068.0,ns,85024962
Size in Bytes (power of 2),,20,,,96051196.0,ns,85901508
Size in Bytes (power of 2),,20,,,97078001.0,ns,86778054
Size in Bytes (power of 2),,20,,,95841000.0,ns,87654600
